order,responsible,nameWithOwner,sshUrl,createdAt,updatedAt,stargazers.totalCount,releases.totalCount,analysed,LOC,CBO,DIT,LCOM
51,Pedro,alibaba/spring-cloud-alibaba,git@github.com:alibaba/spring-cloud-alibaba.git,2017-12-01T20:49:15Z,2022-03-14T15:57:13Z,21614,27,no,,,,
52,Pedro,halo-dev/halo,git@github.com:halo-dev/halo.git,2018-03-21T12:56:52Z,2022-03-15T00:40:35Z,21548,82,no,,,,
53,Pedro,apache/kafka,git@github.com:apache/kafka.git,2011-08-15T18:06:16Z,2022-03-15T00:52:04Z,21398,0,no,,,,
54,Pedro,xuxueli/xxl-job,git@github.com:xuxueli/xxl-job.git,2015-11-28T12:59:34Z,2022-03-14T11:34:49Z,20866,30,no,,,,
55,Pedro,google/gson,git@github.com:google/gson.git,2015-03-19T18:21:20Z,2022-03-14T13:49:05Z,20664,3,no,,,,
56,Pedro,libgdx/libgdx,git@github.com:libgdx/libgdx.git,2012-08-10T19:34:38Z,2022-03-14T13:33:27Z,19754,8,yes,226380.0,25.0,49.0,3418.0
57,Pedro,ReactiveX/RxAndroid,git@github.com:ReactiveX/RxAndroid.git,2014-08-19T03:46:38Z,2022-03-14T08:32:57Z,19611,18,no,,,,
58,Pedro,DrKLO/Telegram,git@github.com:DrKLO/Telegram.git,2013-10-25T14:08:10Z,2022-03-14T17:15:10Z,19433,73,no,,,,
59,Pedro,google/ExoPlayer,git@github.com:google/ExoPlayer.git,2014-06-13T21:19:18Z,2022-03-14T14:49:16Z,19049,18,no,,,,
60,Pedro,apache/skywalking,git@github.com:apache/skywalking.git,2015-11-07T03:30:36Z,2022-03-14T23:28:46Z,18879,50,no,,,,
61,Pedro,alibaba/Sentinel,git@github.com:alibaba/Sentinel.git,2018-04-04T06:37:33Z,2022-03-15T00:00:23Z,18660,19,no,,,,
62,Pedro,jenkinsci/jenkins,git@github.com:jenkinsci/jenkins.git,2010-11-22T21:21:23Z,2022-03-14T09:27:53Z,18577,162,no,,,,
63,Pedro,didi/DoraemonKit,git@github.com:didi/DoraemonKit.git,2018-08-14T10:32:07Z,2022-03-14T09:49:12Z,18535,7,no,,,,
64,Pedro,redisson/redisson,git@github.com:redisson/redisson.git,2014-01-11T14:06:25Z,2022-03-14T17:10:00Z,18500,105,no,,,,
65,Pedro,apache/flink,git@github.com:apache/flink.git,2014-06-07T07:00:10Z,2022-03-14T17:52:20Z,18348,0,no,,,,
66,Pedro,bazelbuild/bazel,git@github.com:bazelbuild/bazel.git,2014-06-12T16:00:38Z,2022-03-14T16:50:00Z,18270,142,no,,,,
67,Pedro,Baseflow/PhotoView,git@github.com:Baseflow/PhotoView.git,2012-07-17T16:39:00Z,2022-03-14T13:21:38Z,18145,5,no,,,,
68,Pedro,elunez/eladmin,git@github.com:elunez/eladmin.git,2018-12-14T08:54:24Z,2022-03-14T13:14:45Z,17675,0,no,,,,
69,Pedro,TeamNewPipe/NewPipe,git@github.com:TeamNewPipe/NewPipe.git,2015-09-03T23:39:26Z,2022-03-15T00:55:19Z,17644,116,no,,,,
70,Pedro,CarGuo/GSYVideoPlayer,git@github.com:CarGuo/GSYVideoPlayer.git,2016-11-13T12:34:31Z,2022-03-14T05:42:58Z,17225,32,no,,,,
71,Pedro,linlinjava/litemall,git@github.com:linlinjava/litemall.git,2018-03-22T16:42:30Z,2022-03-14T09:28:30Z,16904,8,no,,,,
72,Pedro,mybatis/mybatis-3,git@github.com:mybatis/mybatis-3.git,2013-02-14T19:03:32Z,2022-03-14T12:34:25Z,16891,36,no,,,,
73,Pedro,nostra13/Android-Universal-Image-Loader,git@github.com:nostra13/Android-Universal-Image-Loader.git,2011-11-27T18:48:23Z,2022-03-13T06:21:01Z,16813,0,no,,,,
74,Pedro,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,git@github.com:EnterpriseQualityCoding/FizzBuzzEnterpriseEdition.git,2012-11-24T00:14:41Z,2022-03-14T20:46:23Z,16810,0,no,,,,
75,Pedro,facebook/fresco,git@github.com:facebook/fresco.git,2015-03-02T09:58:04Z,2022-03-15T00:42:50Z,16756,45,no,,,,
76,Pedro,apache/rocketmq,git@github.com:apache/rocketmq.git,2016-11-30T08:00:08Z,2022-03-14T19:23:02Z,16720,6,no,,,,
77,Pedro,oracle/graal,git@github.com:oracle/graal.git,2016-01-14T17:11:35Z,2022-03-14T08:36:09Z,16717,32,no,,,,
78,Pedro,dianping/cat,git@github.com:dianping/cat.git,2012-12-05T02:31:48Z,2022-03-14T10:55:51Z,16496,0,no,,,,
79,Pedro,brettwooldridge/HikariCP,git@github.com:brettwooldridge/HikariCP.git,2013-10-08T05:43:03Z,2022-03-14T19:48:32Z,16457,0,no,,,,
80,Pedro,forezp/SpringCloudLearning,git@github.com:forezp/SpringCloudLearning.git,2017-04-08T10:06:56Z,2022-03-14T07:56:27Z,16441,0,no,,,,
81,Pedro,Tencent/tinker,git@github.com:Tencent/tinker.git,2016-09-06T06:57:52Z,2022-03-14T16:14:33Z,16260,44,no,,,,
82,Pedro,shuzheng/zheng,git@github.com:shuzheng/zheng.git,2016-10-04T10:07:06Z,2022-03-14T07:33:44Z,16214,0,no,,,,
83,Pedro,winterbe/java8-tutorial,git@github.com:winterbe/java8-tutorial.git,2014-03-16T17:25:43Z,2022-03-14T09:26:27Z,15537,0,no,,,,
84,Pedro,apache/shardingsphere,git@github.com:apache/shardingsphere.git,2016-01-18T12:49:26Z,2022-03-14T23:22:33Z,15463,46,no,,,,
85,Pedro,openzipkin/zipkin,git@github.com:openzipkin/zipkin.git,2012-06-06T18:26:16Z,2022-03-14T15:09:06Z,15219,67,no,,,,
86,Pedro,android10/Android-CleanArchitecture,git@github.com:android10/Android-CleanArchitecture.git,2014-08-19T14:09:26Z,2022-03-14T21:10:27Z,15117,0,no,,,,
87,Pedro,lottie-react-native/lottie-react-native,git@github.com:lottie-react-native/lottie-react-native.git,2017-01-27T18:24:50Z,2022-03-14T10:10:40Z,14914,9,no,,,,
88,Pedro,JeffLi1993/springboot-learning-example,git@github.com:JeffLi1993/springboot-learning-example.git,2017-02-06T07:02:25Z,2022-03-14T19:14:48Z,14749,0,no,,,,
89,Pedro,LMAX-Exchange/disruptor,git@github.com:LMAX-Exchange/disruptor.git,2012-09-21T13:42:24Z,2022-03-14T14:02:33Z,14591,13,no,,,,
90,Pedro,Anuken/Mindustry,git@github.com:Anuken/Mindustry.git,2017-04-30T01:24:29Z,2022-03-14T22:07:09Z,14191,134,no,,,,
91,Pedro,dyc87112/SpringBoot-Learning,git@github.com:dyc87112/SpringBoot-Learning.git,2016-08-21T03:39:06Z,2022-03-15T00:48:25Z,14190,0,no,,,,
92,Pedro,hdodenhof/CircleImageView,git@github.com:hdodenhof/CircleImageView.git,2014-01-17T16:44:46Z,2022-03-13T05:30:53Z,14152,0,no,,,,
93,Pedro,alibaba/ARouter,git@github.com:alibaba/ARouter.git,2016-12-14T01:27:49Z,2022-03-14T15:04:49Z,13709,16,no,,,,
94,Pedro,iBotPeaches/Apktool,git@github.com:iBotPeaches/Apktool.git,2012-03-19T17:46:53Z,2022-03-14T22:52:55Z,13629,15,no,,,,
95,Pedro,lgvalle/Material-Animations,git@github.com:lgvalle/Material-Animations.git,2015-03-08T20:54:00Z,2022-03-11T07:00:32Z,13563,0,no,,,,
96,Pedro,Tencent/QMUI_Android,git@github.com:Tencent/QMUI_Android.git,2017-04-21T10:03:18Z,2022-03-14T10:40:19Z,13471,35,no,,,,
97,Pedro,material-components/material-components-android,git@github.com:material-components/material-components-android.git,2016-12-05T16:11:29Z,2022-03-14T20:03:06Z,13456,49,no,,,,
98,Pedro,medcl/elasticsearch-analysis-ik,git@github.com:medcl/elasticsearch-analysis-ik.git,2011-12-16T09:01:45Z,2022-03-14T11:04:32Z,13430,157,no,,,,
99,Pedro,YunaiV/SpringBoot-Labs,git@github.com:YunaiV/SpringBoot-Labs.git,2018-09-12T14:51:46Z,2022-03-14T15:19:35Z,13396,0,no,,,,
100,Pedro,prestodb/presto,git@github.com:prestodb/presto.git,2012-08-09T01:03:37Z,2022-03-14T19:53:43Z,13259,0,no,,,,
101,Pedro,orhanobut/logger,git@github.com:orhanobut/logger.git,2015-03-20T22:30:12Z,2022-03-12T19:13:34Z,13184,16,no,,,,
102,Pedro,doocs/leetcode,git@github.com:doocs/leetcode.git,2018-09-16T14:03:03Z,2022-03-15T00:32:01Z,13161,19,no,,,,
103,Pedro,justauth/JustAuth,git@github.com:justauth/JustAuth.git,2019-01-31T09:42:20Z,2022-03-14T13:00:21Z,13150,45,no,,,,
104,Pedro,Bigkoo/Android-PickerView,git@github.com:Bigkoo/Android-PickerView.git,2014-12-28T01:46:38Z,2022-03-14T09:14:10Z,13062,0,no,,,,
105,Pedro,Tencent/APIJSON,git@github.com:Tencent/APIJSON.git,2016-11-21T12:03:29Z,2022-03-14T17:17:29Z,12955,85,no,,,,
106,Pedro,android-hacker/VirtualXposed,git@github.com:android-hacker/VirtualXposed.git,2017-12-01T09:00:58Z,2022-03-15T00:45:41Z,12953,49,no,,,,
107,Pedro,Curzibn/Luban,git@github.com:Curzibn/Luban.git,2016-07-24T07:43:21Z,2022-03-14T06:37:38Z,12853,6,no,,,,
108,Pedro,Konloch/bytecode-viewer,git@github.com:Konloch/bytecode-viewer.git,2014-10-14T10:26:46Z,2022-03-14T20:51:41Z,12793,57,no,,,,
109,Pedro,eclipse-vertx/vert.x,git@github.com:eclipse-vertx/vert.x.git,2011-06-17T14:54:55Z,2022-03-14T14:27:18Z,12765,0,no,,,,
110,Pedro,mockito/mockito,git@github.com:mockito/mockito.git,2012-10-13T20:27:12Z,2022-03-14T08:36:03Z,12688,185,no,,,,
111,Pedro,arduino/Arduino,git@github.com:arduino/Arduino.git,2010-09-17T19:10:36Z,2022-03-14T14:18:07Z,12646,37,no,,,,
112,Pedro,baomidou/mybatis-plus,git@github.com:baomidou/mybatis-plus.git,2016-08-18T10:06:53Z,2022-03-14T13:54:17Z,12540,22,no,,,,
113,Pedro,greenrobot/greenDAO,git@github.com:greenrobot/greenDAO.git,2011-10-22T16:15:14Z,2022-03-13T06:30:43Z,12505,8,no,,,,
114,Pedro,facebook/stetho,git@github.com:facebook/stetho.git,2015-01-22T22:34:10Z,2022-03-13T06:38:08Z,12460,13,no,,,,
115,Pedro,openjdk/jdk,git@github.com:openjdk/jdk.git,2018-09-17T12:29:20Z,2022-03-15T00:51:42Z,12457,0,no,,,,
116,Pedro,apache/hadoop,git@github.com:apache/hadoop.git,2014-08-28T07:00:08Z,2022-03-14T23:32:12Z,12405,0,no,,,,
117,Pedro,eclipse/deeplearning4j,git@github.com:eclipse/deeplearning4j.git,2013-11-27T02:03:28Z,2022-03-14T09:08:45Z,12376,0,no,,,,
118,Pedro,JessYanCoding/AndroidAutoSize,git@github.com:JessYanCoding/AndroidAutoSize.git,2018-08-17T09:04:19Z,2022-03-14T14:19:51Z,12215,14,no,,,,
119,Pedro,zhihu/Matisse,git@github.com:zhihu/Matisse.git,2017-04-13T01:31:05Z,2022-03-14T07:48:53Z,12213,15,no,,,,
120,Pedro,daimajia/AndroidSwipeLayout,git@github.com:daimajia/AndroidSwipeLayout.git,2014-08-25T04:09:33Z,2022-03-14T01:46:28Z,12182,18,no,,,,
121,Pedro,williamfiset/Algorithms,git@github.com:williamfiset/Algorithms.git,2017-03-18T02:50:46Z,2022-03-14T22:30:38Z,12175,0,no,,,,
122,Pedro,daimajia/AndroidViewAnimations,git@github.com:daimajia/AndroidViewAnimations.git,2014-06-23T03:53:13Z,2022-03-14T20:36:02Z,12048,9,no,,,,
123,Pedro,pinpoint-apm/pinpoint,git@github.com:pinpoint-apm/pinpoint.git,2014-10-20T09:27:22Z,2022-03-14T08:31:54Z,12045,50,no,,,,
124,Pedro,zhisheng17/flink-learning,git@github.com:zhisheng17/flink-learning.git,2019-01-01T07:38:28Z,2022-03-15T00:56:22Z,11843,0,no,,,,
125,Pedro,youth5201314/banner,git@github.com:youth5201314/banner.git,2016-04-22T05:50:25Z,2022-03-14T15:55:00Z,11822,0,no,,,,
126,Pedro,Netflix/zuul,git@github.com:Netflix/zuul.git,2013-03-13T18:53:57Z,2022-03-14T12:37:40Z,11784,5,no,,,,
127,Pedro,antlr/antlr4,git@github.com:antlr/antlr4.git,2010-02-04T01:36:28Z,2022-03-14T17:24:16Z,11738,23,no,,,,
128,Pedro,keycloak/keycloak,git@github.com:keycloak/keycloak.git,2013-07-02T13:38:51Z,2022-03-14T23:30:41Z,11615,17,no,,,,
129,Pedro,apache/druid,git@github.com:apache/druid.git,2012-10-23T19:08:07Z,2022-03-14T12:08:09Z,11611,48,no,,,,
130,Pedro,GoogleContainerTools/jib,git@github.com:GoogleContainerTools/jib.git,2018-01-22T18:30:43Z,2022-03-14T15:26:50Z,11588,133,no,,,,
131,Pedro,termux/termux-app,git@github.com:termux/termux-app.git,2015-10-23T09:42:46Z,2022-03-14T23:53:50Z,11519,89,no,,,,
132,Pedro,OpenAPITools/openapi-generator,git@github.com:OpenAPITools/openapi-generator.git,2018-05-12T09:57:56Z,2022-03-14T22:06:27Z,11515,45,no,,,,
133,Pedro,seaswalker/spring-analysis,git@github.com:seaswalker/spring-analysis.git,2016-09-09T07:46:32Z,2022-03-14T09:13:26Z,11485,0,no,,,,
134,Pedro,Tencent/VasSonic,git@github.com:Tencent/VasSonic.git,2017-08-01T08:35:13Z,2022-03-13T01:45:35Z,11469,10,no,,,,
135,Pedro,sqshq/piggymetrics,git@github.com:sqshq/piggymetrics.git,2015-03-29T17:56:31Z,2022-03-14T22:01:56Z,11411,2,no,,,,
136,Pedro,heibaiying/BigData-Notes,git@github.com:heibaiying/BigData-Notes.git,2019-03-10T01:40:01Z,2022-03-14T16:51:31Z,11364,0,no,,,,
137,Pedro,LuckSiege/PictureSelector,git@github.com:LuckSiege/PictureSelector.git,2017-01-04T07:47:39Z,2022-03-14T14:08:37Z,11286,103,no,,,,
138,Pedro,ben-manes/caffeine,git@github.com:ben-manes/caffeine.git,2014-12-13T08:45:11Z,2022-03-14T13:47:01Z,11271,58,no,,,,
139,Pedro,realm/realm-java,git@github.com:realm/realm-java.git,2012-04-20T09:18:42Z,2022-03-14T07:58:25Z,11263,0,no,,,,
140,Pedro,hyb1996/Auto.js,git@github.com:hyb1996/Auto.js.git,2017-01-27T01:01:16Z,2022-03-14T14:46:17Z,11178,0,no,,,,
141,Pedro,jfeinstein10/SlidingMenu,git@github.com:jfeinstein10/SlidingMenu.git,2012-06-30T05:14:23Z,2022-03-09T04:46:24Z,11172,0,no,,,,
142,Pedro,thingsboard/thingsboard,git@github.com:thingsboard/thingsboard.git,2016-12-01T09:33:30Z,2022-03-14T22:31:35Z,11169,47,no,,,,
143,Pedro,androidannotations/androidannotations,git@github.com:androidannotations/androidannotations.git,2012-01-06T08:48:03Z,2022-03-13T02:22:30Z,11164,0,no,,,,
144,Pedro,Netflix/eureka,git@github.com:Netflix/eureka.git,2012-07-26T22:23:07Z,2022-03-14T05:33:44Z,11123,142,no,,,,
145,Pedro,Yalantis/uCrop,git@github.com:Yalantis/uCrop.git,2016-01-05T13:41:06Z,2022-03-14T13:13:48Z,11105,15,no,,,,
146,Pedro,projectlombok/lombok,git@github.com:projectlombok/lombok.git,2009-06-08T19:46:41Z,2022-03-14T18:14:55Z,11000,3,no,,,,
147,Pedro,pagehelper/Mybatis-PageHelper,git@github.com:pagehelper/Mybatis-PageHelper.git,2014-06-09T15:32:30Z,2022-03-14T16:43:16Z,10986,9,no,,,,
148,Pedro,java-decompiler/jd-gui,git@github.com:java-decompiler/jd-gui.git,2015-03-25T05:28:41Z,2022-03-14T20:53:02Z,10937,18,no,,,,
149,Pedro,permissions-dispatcher/PermissionsDispatcher,git@github.com:permissions-dispatcher/PermissionsDispatcher.git,2015-08-15T21:41:05Z,2022-03-14T09:56:06Z,10896,40,no,,,,
150,Pedro,alibaba/vlayout,git@github.com:alibaba/vlayout.git,2017-02-27T08:11:47Z,2022-03-14T08:37:27Z,10825,34,no,,,,
151,Pedro,google/guice,git@github.com:google/guice.git,2014-05-28T23:18:53Z,2022-03-14T21:01:18Z,10807,15,no,,,,
152,Pedro,alibaba/DataX,git@github.com:alibaba/DataX.git,2018-01-18T10:09:47Z,2022-03-14T10:17:42Z,10722,0,no,,,,
153,Pedro,codecentric/spring-boot-admin,git@github.com:codecentric/spring-boot-admin.git,2014-07-25T11:39:13Z,2022-03-14T17:05:15Z,10686,67,no,,,,
154,Pedro,android-async-http/android-async-http,git@github.com:android-async-http/android-async-http.git,2011-02-20T03:25:07Z,2022-03-13T04:51:38Z,10654,3,no,,,,
155,Pedro,macrozheng/mall-learning,git@github.com:macrozheng/mall-learning.git,2019-04-12T13:20:31Z,2022-03-14T18:30:42Z,10631,0,no,,,,
156,Pedro,H07000223/FlycoTabLayout,git@github.com:H07000223/FlycoTabLayout.git,2015-11-09T01:53:19Z,2022-03-14T09:00:34Z,10546,4,no,,,,
157,Pedro,apache/pulsar,git@github.com:apache/pulsar.git,2016-06-28T07:00:03Z,2022-03-14T20:07:08Z,10498,53,no,,,,
158,Pedro,lingochamp/FileDownloader,git@github.com:lingochamp/FileDownloader.git,2015-12-22T11:17:16Z,2022-03-11T19:02:40Z,10473,65,no,,,,
159,Pedro,lipangit/JiaoZiVideoPlayer,git@github.com:lipangit/JiaoZiVideoPlayer.git,2016-02-06T11:04:24Z,2022-03-14T05:51:25Z,10421,78,no,,,,
160,Pedro,jeasonlzy/okhttp-OkGo,git@github.com:jeasonlzy/okhttp-OkGo.git,2016-01-15T10:35:24Z,2022-03-11T14:54:13Z,10403,14,no,,,,
161,Pedro,frank-lam/fullstack-tutorial,git@github.com:frank-lam/fullstack-tutorial.git,2018-04-13T01:50:10Z,2022-03-14T14:50:40Z,10402,0,no,,,,
162,Pedro,redis/jedis,git@github.com:redis/jedis.git,2010-06-11T13:04:43Z,2022-03-14T08:42:25Z,10324,62,no,,,,
163,Pedro,tbruyelle/RxPermissions,git@github.com:tbruyelle/RxPermissions.git,2015-09-29T13:55:09Z,2022-03-14T16:16:19Z,10312,11,no,,,,
164,Pedro,mission-peace/interview,git@github.com:mission-peace/interview.git,2014-07-20T21:27:31Z,2022-03-14T23:59:18Z,10280,0,no,,,,
165,Pedro,code4craft/webmagic,git@github.com:code4craft/webmagic.git,2013-04-23T12:57:36Z,2022-03-14T17:52:25Z,10277,20,no,,,,
